reputation,Id,displayname,location
145,140808,Cambo,"Melbourne, Australia"
2446,140823,monch1962,"Melbourne, Australia"
8,141365,steveh7,"Melbourne, Australia"
458,142437,Ashby,"Melbourne, Victoria, Australia"
1,8478149,Shawn Ma,"Melbourne VIC, Australia"
1,8478156,Nita,"Melbourne, Victoria, Australia"
1,8478658,Yas,"Melbourne, Victoria, Australia"
867,2632328,Bmize729,"Melbourne, Australia"
132,2632400,Adrian Hum,"Melbourne, Australia"
46,2632618,AlexTheDeveloper,"Melbourne, Australia"
1,8480178,Sam Bill,"Melbourne, Victoria, Australia"
593,146900,karmasponge,"Melbourne, Australia"
2374,147508,mblackwell8,"Melbourne, Australia"
133,148426,chop,"Melbourne, Australia"
16426,148473,Dmytrii Nagirniak,"Melbourne, Australia"
178,159734,Rupert,"Melbourne, Australia"
1392,159806,IanT8,"Melbourne, Victoria, Australia"
186,160444,Thushan Fernando,"Melbourne, Australia"
6,6545854,Siddharth Mone,"Melbourne VIC, Australia"
1,6545951,Vincent,"Melbourne, Victoria, Australia"
53,8486859,Matthew Keron,"Melbourne, Victoria, Australia"
1,8486908,Tom,"Melbourne, Victoria, Australia"
1,8487138,Benjamin B,"Melbourne, Victoria, Australia"
1,4727683,NTalaM,"Melbourne Victoria, Australia"
1,10366117,Paul Eynaud,"Melbourne VIC, Australia"
1,10366256,A. Bhuyan,"Melbourne VIC, Australia"
1,10366517,James Garrard,"Melbourne VIC, Australia"
613,166975,kevinjansz,"Melbourne, Australia"
1,2644190,Nupur Shah,"Melbourne, Victoria, Australia"
228268,174728,John La Rooy,"Melbourne, Victoria, Australia"
301,174788,DonDon,"Melbourne, Australia"
189,175441,Tim Joseph,"Melbourne, Australia"
1027,176337,Reuben,"Melbourne, Australia"
306,176966,James Hull,"Melbourne, Australia"
380,177126,Xiaosu,"Melbourne, Australia"
2565,1119,Chris Carruthers,"Melbourne, Victoria, Australia"
560,1389,Andrew,"Melbourne, Australia"
1,8422568,Judd West,"Melbourne, Victoria, Australia"
6218,1714,Hobo,"Melbourne, Victoria, Australia"
16586,8799,Nathan Baulch,"Melbourne, Victoria, Australia"
101,4669991,Johan van Ryssen,"Melbourne, Victoria, Australia"
20047,17221,Matt Curtis,"Melbourne, Australia"
353,4674443,Hiran,Melbourne
319,4674591,Philipp R,"Melbourne, Victoria, Australia"
